,QA,ANS,TAG
655,what movies can be described with [frank capra],It's a Wonderful Life|Mr. Smith Goes to Washington|It Happened One Night|Arsenic and Old Lace|You Can't Take It With You|Mr. Deeds Goes to Town|Lost Horizon|Meet John Doe|Pocketful of Miracles|Lady for a Day|The Bitter Tea of General Yen|State of the Union|Platinum Blonde|American Madness|The Miracle Woman|Submarine,has_tags_inv
656,what movies are about [barcelona],Vicky Cristina Barcelona|Barcelona,has_tags_inv
657,what movies can be described with [cloris leachman],Young Frankenstein|The Last Picture Show,has_tags_inv
658,what movies are about [larisa shepitko],The Ascent|Wings,has_tags_inv
659,what movies can be described by [abel gance],J'accuse!,has_tags_inv
660,what movies can be described by [nostalgia],Midnight in Paris,has_tags_inv
661,what films can be described by [bijou phillips],Bully,has_tags_inv
662,which films are about [exoskeleton],Iron Man,has_tags_inv
663,what films can be described by [happiness],Happy,has_tags_inv
664,what films can be described by [andrew stanton],"Finding Nemo|Monsters, Inc.",has_tags_inv
665,what movies can be described with [john belushi],The Blues Brothers|Animal House|Neighbors,has_tags_inv
666,what films are about [elizabeth perkins],Big|28 Days|Miracle on 34th Street|From the Hip,has_tags_inv
667,which films are about [rob bowman],Reign of Fire|Elektra,has_tags_inv
668,what movies can be described with [linda fiorentino],Dogma|After Hours|The Last Seduction|Jade,has_tags_inv
669,what movies can be described by [holy grail],Indiana Jones and the Last Crusade|Monty Python and the Holy Grail,has_tags_inv
670,what movies can be described by [trey parker],BASEketball|Orgazmo,has_tags_inv
671,which films can be described by [plane crash],The Grey|The Snow Walker,has_tags_inv
672,which films are about [andré téchiné],Wild Reeds|Strayed|The Witnesses|Thieves|My Favorite Season,has_tags_inv
673,what films can be described by [yves allégret],The Proud and the Beautiful|Dédée d'Anvers,has_tags_inv
674,what movies are about [proletariat trilogy],The Match Factory Girl|Ariel|Shadows in Paradise,has_tags_inv
675,what films can be described by [nuclear power],Silkwood,has_tags_inv
676,what movies can be described by [werewolf],Underworld|The Wolfman|An American Werewolf in London|Teen Wolf|The Howling|An American Werewolf in Paris|The Wolf Man|Bad Moon|Werewolf of London|The Curse of the Werewolf,has_tags_inv
677,what films can be described by [chris sarandon],The Nightmare Before Christmas|Child's Play|Fright Night,has_tags_inv
678,which films are about [cher],Moonstruck|Mermaids|Mask,has_tags_inv
679,what films can be described by [william beaudine],The Old Fashioned Way,has_tags_inv
680,what movies can be described by [obsession],Red Obsession,has_tags_inv
681,which films can be described by [harvard],The Paper Chase,has_tags_inv
682,which movies are about [viola davis],The Help|Doubt,has_tags_inv
683,which films are about [willem dafoe],Spider-Man|American Psycho|Platoon|Inside Man|The Boondock Saints|John Wick|The Life Aquatic with Steve Zissou|Daybreakers|Mr. Bean's Holiday|Antichrist|Out of the Furnace|Mississippi Burning|Shadow of the Vampire|Odd Thomas|Affliction|Animal Factory|Anamorph|The Reckoning|New Rose Hotel|Ripley Under Ground,has_tags_inv
684,what movies can be described with [saoirse ronan],Atonement|Hanna|The Lovely Bones|The Host|The Way Back|City of Ember|How I Live Now,has_tags_inv
685,what films can be described by [pietro germi],"Divorce Italian Style|Seduced and Abandoned|The Birds, the Bees and the Italians|In the Name of the Law",has_tags_inv
686,which films are about [based on manga],Ghost in the Shell,has_tags_inv
687,which films are about [david niven],Candleshoe,has_tags_inv
688,which movies can be described by [steven zaillian],Searching for Bobby Fischer|A Civil Action|All the King's Men,has_tags_inv
689,what films can be described by [partisans],Defiance,has_tags_inv
690,which films are about [deafness],Children of a Lesser God,has_tags_inv
691,what movies can be described with [army],Jack Strong,has_tags_inv
692,which films are about [scarlett johansson],The Avengers|The Prestige|Iron Man 2|Lost in Translation|Her|The Island|Lucy|Vicky Cristina Barcelona|Don Jon|Match Point|He's Just Not That Into You|The Man Who Wasn't There|Under the Skin|Scoop|The Black Dahlia|Girl with a Pearl Earring|The Spirit|In Good Company|The Nanny Diaries|The Perfect Score,has_tags_inv
693,what films can be described by [mute],Mute Witness,has_tags_inv
694,which movies are about [navy seals],Captain Phillips|Lone Survivor|Act of Valor,has_tags_inv
695,which movies are about [imax 3-d],To the Arctic 3D,has_tags_inv
696,what films are about [apatow],Superbad|Forgetting Sarah Marshall|This Is 40,has_tags_inv
697,which movies are about [irving pichel],They Won't Believe Me,has_tags_inv
698,which films are about [muppets],The Muppets|The Muppet Christmas Carol|The Muppet Movie|Muppets Most Wanted|Muppet Treasure Island|The Muppets Take Manhattan|Muppets from Space|The Great Muppet Caper|The Adventures of Elmo in Grouchland,has_tags_inv
699,what films can be described by [graffiti],Bomb the System,has_tags_inv
700,which movies are about [imax],The Dark Knight|Avatar|Watchmen|Alice in Wonderland|Beauty and the Beast|Born to Be Wild|To the Arctic 3D|The Young Black Stallion|The Living Sea,has_tags_inv
701,what movies are about [noah wyle],Donnie Darko,has_tags_inv
702,which films are about [jon avnet],Righteous Kill|Fried Green Tomatoes|Red Corner,has_tags_inv
703,which movies are about [shunji iwai],All About Lily Chou-Chou|Love Letter|Hana and Alice|April Story,has_tags_inv
704,what movies can be described with [alejandro gonzález iñárritu],Babel|21 Grams|Biutiful,has_tags_inv
705,what movies can be described with [jim broadbent],The Iron Lady|Another Year|Closed Circuit|Art School Confidential|Iris|Topsy-Turvy,has_tags_inv
706,what movies can be described by [van heflin],Shane|Airport|The Strange Love of Martha Ivers,has_tags_inv
707,which movies are about [kathryn bigelow],The Hurt Locker|Zero Dark Thirty|Strange Days|Near Dark,has_tags_inv
708,which films can be described by [grief],The Queen,has_tags_inv
709,what films are about [wing chun],Ip Man|Ip Man 2,has_tags_inv
710,which movies can be described by [kazuo ikehiro],Zatoichi and the Chest of Gold|Zatoichi's Flashing Sword,has_tags_inv
711,which films can be described by [philippe de broca],King of Hearts|On Guard|That Man from Rio,has_tags_inv
712,which movies are about [monks],Of Gods and Men,has_tags_inv
713,which movies can be described by [ken annakin],The Longest Day|Swiss Family Robinson|Across the Bridge|Trio|Double Confession,has_tags_inv
714,what movies can be described by [spiders],Arachnophobia,has_tags_inv
715,which movies are about [jules sitruk],Monsieur Batignole,has_tags_inv
716,which movies are about [merian c. cooper],King Kong,has_tags_inv
717,what films are about [wilson yip],Ip Man|Ip Man 2,has_tags_inv
718,which films can be described by [lloyd bridges],Airplane!|Hot Shots!,has_tags_inv
719,what movies can be described with [wong kar wai],My Blueberry Nights,has_tags_inv
720,what movies can be described by [colombia],Maria Full of Grace,has_tags_inv
721,which movies can be described by [josh hutcherson],The Hunger Games|Red Dawn|Little Manhattan,has_tags_inv
722,what movies can be described with [james stewart],Rear Window|It's a Wonderful Life|Vertigo|Rope|Mr. Smith Goes to Washington|The Man Who Shot Liberty Valance|The Philadelphia Story|Harvey|Anatomy of a Murder|The Man Who Knew Too Much|The Shop Around the Corner|You Can't Take It With You|The Flight of the Phoenix|Destry Rides Again|The Naked Spur|The Glenn Miller Story|Shenandoah|Bend of the River|Wife vs. Secretary|Pot o' Gold,has_tags_inv
723,what movies can be described by [justin long],Drag Me to Hell|He's Just Not That Into You|Waiting...|Youth in Revolt|Going the Distance|After.Life|Tusk|Strange Wilderness,has_tags_inv
724,what movies are about [melbourne],Animal Kingdom|Dogs in Space,has_tags_inv
725,what movies can be described with [great depression],Public Enemies|Modern Times|The Grapes of Wrath|Paper Moon|Rambling Rose,has_tags_inv
726,what films can be described by [matrix],The Matrix,has_tags_inv
727,what movies can be described with [sydney],Finding Nemo|Lantana,has_tags_inv
728,what movies can be described with [nikita mikhalkov],12|Burnt by the Sun|The Barber of Siberia,has_tags_inv
729,which films are about [bernardo bertolucci],The Dreamers|The Last Emperor|Last Tango in Paris|Stealing Beauty|1900|The Conformist|Little Buddha|The Sheltering Sky|Besieged,has_tags_inv
730,which films can be described by [effects],The Matrix|Avatar|Jurassic Park|Transformers|Pacific Rim|Super 8|Green Lantern|Sunshine|Close Encounters of the Third Kind|The Fly|King Kong,has_tags_inv
731,which films are about [photographer],Chasing Ice,has_tags_inv
732,what movies are about [orgy],Eyes Wide Shut,has_tags_inv
733,which films are about [molly parker],The Center of the World,has_tags_inv
734,which films are about [raymond massey],The Scarlet Pimpernel,has_tags_inv
735,which films can be described by [taylor hackford],Ray|An Officer and a Gentleman|Dolores Claiborne,has_tags_inv
736,which films can be described by [luther],Luther,has_tags_inv
737,what movies can be described by [blindness],Blindness,has_tags_inv
738,what films are about [gangs],Gangs of New York|West Side Story|White Heat|Death Wish 3|Crows Zero,has_tags_inv
739,which movies are about [fosse],Cabaret|Lenny,has_tags_inv
740,which films are about [fraternity],Old School|Animal House|Revenge of the Nerds|Stomp the Yard|Brotherhood,has_tags_inv
741,what movies can be described with [cinema],Cinema Paradiso,has_tags_inv
742,what films can be described by [cure],The Incredible Hulk|Daybreakers,has_tags_inv
743,which movies are about [lacey chabert],Mean Girls|Black Christmas,has_tags_inv
744,which films are about [brothers],American History X|Warrior|The Boondock Saints|Four Brothers|The Lost Boys|The Wind That Shakes the Barley|The Fabulous Baker Boys|Seven Brides for Seven Brothers|Brothers|Dans Paris|Love Me Tender,has_tags_inv
745,what movies are about [jeremy sisto],May,has_tags_inv
746,which movies can be described by [kevin james],Hitch|Grown Ups|Here Comes the Boom|The Dilemma,has_tags_inv
747,which movies can be described by [brian de palma],"Scarface|The Untouchables|Carlito's Way|Carrie|Snake Eyes|The Black Dahlia|Mission to Mars|Casualties of War|Femme Fatale|Blow Out|Dressed to Kill|Body Double|The Bonfire of the Vanities|Phantom of the Paradise|Sisters|Raising Cain|Redacted|The Fury|Obsession|Hi, Mom!",has_tags_inv
748,which films can be described by [1990s],Into the Wild|She's All That,has_tags_inv
749,what films are about [interracial romance],Guess Who|Mississippi Masala,has_tags_inv
750,which films can be described by [jennifer garner],Juno|Daredevil|13 Going on 30|The Kingdom|The Invention of Lying|Elektra|Ghosts of Girlfriends Past|Arthur|Catch and Release,has_tags_inv
751,which films are about [ken hughes],Chitty Chitty Bang Bang|Cromwell|The Trials of Oscar Wilde,has_tags_inv
752,what films can be described by [juno temple],Mr. Nobody|Dirty Girl|Little Birds,has_tags_inv
753,what movies can be described by [technicolor],The Wizard of Oz|The War of the Worlds|The Red Shoes|Black Narcissus,has_tags_inv
754,what movies can be described with [war crimes],The Trials of Henry Kissinger,has_tags_inv
755,which films can be described by [j.m. barrie],Peter Pan,has_tags_inv
756,what films can be described by [john hannah],The Mummy|The Mummy Returns|Sliding Doors,has_tags_inv
757,which films are about [elizabeth hurley],Bedazzled|Permanent Midnight,has_tags_inv
758,which films can be described by [guy green],A Patch of Blue|The Angry Silence|The Mark,has_tags_inv
759,which films are about [czech],Daisies|Autumn Spring,has_tags_inv
760,which films are about [interracial marriage],Guess Who's Coming to Dinner,has_tags_inv
761,what movies can be described by [katrina bowden],Sex Drive,has_tags_inv
762,what movies can be described with [lili taylor],The Conjuring|Ransom|Mystic Pizza|The Addiction|Dogfight|A Slipping-Down Life,has_tags_inv
763,what movies are about [writing],Frozen|Capote|Barton Fink|Finding Forrester|Another Earth|Wonder Boys,has_tags_inv
764,which films can be described by [patrice leconte],The Hairdresser's Husband|The Widow of Saint-Pierre|Monsieur Hire|Intimate Strangers,has_tags_inv
765,which movies can be described by [anton yelchin],"Star Trek Into Darkness|Terminator Salvation|Alpha Dog|Like Crazy|New York, I Love You|The Beaver|Odd Thomas",has_tags_inv
766,which movies can be described by [bane],The Dark Knight Rises,has_tags_inv
767,what movies can be described with [visual],The Matrix|Avatar|Sin City|300|Blade Runner|Manhunter|Halloween II,has_tags_inv
768,which films are about [stuart wilson],No Escape,has_tags_inv
769,what films can be described by [jack kerouac],On the Road|Pull My Daisy,has_tags_inv
770,what movies can be described by [peter cornwell],The Haunting in Connecticut,has_tags_inv
771,which movies are about [sets],Prometheus|Cleopatra,has_tags_inv
772,what movies can be described by [battle royale],The Hunger Games,has_tags_inv
773,which movies can be described by [bob hope],Road to Morocco|Road to Bali|Road to Singapore|The Paleface|Road to Utopia|Road to Rio|Road to Zanzibar|The Ghost Breakers|My Favorite Brunette|Son of Paleface|The Cat and the Canary|The Seven Little Foys|My Favorite Blonde|Casanova's Big Night,has_tags_inv
774,what movies can be described by [chow yun fat],The Killer,has_tags_inv
775,which films are about [david bowie],The Prestige|Labyrinth|The Hunger|Basquiat|The Man Who Fell to Earth|Absolute Beginners,has_tags_inv
776,which films are about [humphrey bogart],Casablanca|The Maltese Falcon|The Treasure of the Sierra Madre|The Big Sleep|The African Queen|Sabrina|Key Largo|To Have and Have Not|The Caine Mutiny|Angels with Dirty Faces|In a Lonely Place|Dark Passage|High Sierra|The Petrified Forest|The Roaring Twenties|The Desperate Hours|Sahara|The Harder They Fall|Action in the North Atlantic|Black Legion|The Oklahoma Kid|The Return of Doctor X,has_tags_inv
777,what films are about [paul crowder],1|The Last Play at Shea,has_tags_inv
